"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10370","POS_003 - Submit form with email containing plus sign","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","16011","EDGE_006 - Submit form with different phone formats","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","3041","POS_004 - Form reset clears all fields","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","10040","POS_002 - Submit form with special characters in name (apostrophe)","webkit","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1521","NEG_005 - Submit form with invalid email (missing @)","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","3062","POS_001 - Submit form with valid data","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","3831","BOUND_007 - Name field at minimum valid length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","2004","BOUND_002 - Name field exceeding maximum length","chromium","2026-04-05","passed","2026-04-05","Form Boundary Test Scenarios","formBoundary.spec.js","",""
"","4745","DATA_003 - Form state after successful submission","chromium","2026-04-05","passed","2026-04-05","Form Data Consistency Test Scenarios","formDataConsistency.spec.js","",""
"","9344","POS_003 - Submit form with email containing plus sign","webkit","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","4750","EDGE_007 - Submit form with leading and trailing whitespace","chromium","2026-04-05","passed","2026-04-05","Form Edge Case Scenarios","formEdgeCases.spec.js","",""
"","3039","POS_002 - Submit form with special characters in name (apostrophe)","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","2988","POS_003 - Submit form with email containing plus sign","chromium","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
"","1527","NEG_009 - Submit form without zip code","chromium","2026-04-05","passed","2026-04-05","Form Negative Scenarios - Validation Errors","formNegative.spec.js","",""
"","10392","POS_001 - Submit form with valid data","firefox","2026-04-05","failed","2026-04-05","Form Positive Scenarios - Valid Submissions","formPositive.spec.js","",""
